race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
13,16,1,1,1,5,US,3.0,2.2,3.0,3.6,3.3,3.6,C
13,1997,1,2,1,1,US,3.1,2.9,2.4,2.1,2.7,3.1,E
9,17,1,2,1,5,US,3.5,4.8,3.7,3.8,3.2,4.8,N
3,16,2,1,1,1,AT,3.4,3.8,3.3,3.0,3.1,3.8,N
3,17,1,2,1,5,US,2.9,3.1,2.7,3.3,2.9,3.3,C
3,33,1,2,1,1,US,2.5,2.8,3.0,3.3,4.0,4.0,O
3,18,1,1,2,5,US,3.4,3.7,3.1,3.1,4.1,4.1,O
13,20,1,1,2,2,US,3.1,2.1,3.5,2.7,3.9,3.9,O
3,40,2,2,1,1,NO,2.6,3.8,3.1,2.8,3.2,3.8,N
3,19,2,2,1,1,SE,3.1,2.9,3.0,3.2,3.0,3.2,C
